"id_equipos","name","marca","serial","name","hora_salida","observaciones","cliente"
"257ff419-a18d-7ca3-2eaa-5ea1a26f0a83",A.A ACRP-100 DATACENTER #1,APC,UK1008210542,AA-18802,"2025-07-31 15:54:36","Se realiza la instalación de bomba de condensados en la unidad.

Se instalo bomba de condensados nueva, numero de parte de Schneider Electric W491-0523 el serial de la nueva bomba es  MB2504002135. 
Luego de instalada, se verificaron las conexiones hidráulicas y se descarta fugas de agua en el modulo. 


Es importante nuevamente recordar,  la unidad de aire acondicionado aun no tiene conectado el suministro de agua para el humidificador,  la manguera que trae el liquido quedó restringida y no alcanza a llegar hasta el punto de conexión en el equipo, sin el liquido, la unidad no puede humidificar el aire en caso de ser necesario. 


Con la instalación de la bomba, la unidad de aire acondicionado entra de nuevo en funcionamiento, el  equipo queda operativo y sin alarmas activas. 

",COOL AIR MULTIAIRES S.A.S.
"14cdba02-ae00-e92f-27b6-65de33ae38f2",Aire de Precision ACRD600P,APC,JK1743000230,AA-18733,"2025-07-24 14:58:16","Se realiza ingreso  a cliente.

Se encontró equipo de aire acondicionado tipo precisión inrow, en estado apagado.
Presentando alarma por:
--Alta temperatura  en cabeza de compresor.
-- Alarma por VRF.

Teniendo en cuenta las alarmas activas encontradas se validan las siguientes:

* Temperatura del compresor.
* Nivel de aceite compresor.
* Presión de refrigerante en el sistema.
* Consumos del compresor.

Se realizo cambio de gusanillo de válvula de servicio de sistema de refrigeración de alta del equipo.

Equipo actualmente esta manejando presiones en psi en operación de:

* Sistema de refrigeración de baja o succión en 130 PSI.
* Sistema de refrigeración de alta o descarga en  450 PSI.

Teniendo en cuenta que el equipo desde el momento que se le realizo la intervención no a presentado mas alarmas en su operación. se deja en observación el equipo hasta el día siguiente.

  Se entrega servicio técnico a satisfacción del cliente, sin novedad..
",UNIVERSIDAD DEL CAUCA
"14cdba02-ae00-e92f-27b6-65de33ae38f2",Aire de Precision ACRD600P,APC,JK1743000230,AA-18757,"2025-07-24 14:57:26","Se realiza ingreso a cliente 

Se encontró equipo de aire acondicionado tipo INROW en normal estado de funcionamiento sin presentar alarma activa en su operación.

Se realiza la inspecion del equipo teniendo en cuenta el estado en que se dejo del día anterior y se evidencia que no presenta cambios en su funcionamiento, se encontró todo de la misma manera que se dejo el día anterior.

De igual forma se le validan las siguientes condiciones:
-- Temperaturas de operación.
-- Presiones en psi.
-- Nivel de aceite del compresor.
-- Temperatura de operación del compresor.
--",UNIVERSIDAD DEL CAUCA
"14cdba02-ae00-e92f-27b6-65de33ae38f2",Aire de Precision ACRD600P,APC,JK1743000230,AA-18762,"2025-07-24 14:56:35","Se realiza ingreso a cliente.

Se encontró equipo de aire acondici9nado tipo inrow en óptimo estado de funcionamiento, sin presentar alarma  activa y cumpliendo así con su comfiguracion inicial.

Se Inspecciona el equipo para validar su estado actual y comprobar que todo esté en su normal funcionamiento.
Revisión de:
-- Consumos del equipo.
-- Medición de presiones psi.
-- Toma de temperatura del compresor y equipo.
-- Estado de motores blower.
-- Estado de compresor driver.
-- Historial de alarmas.
-- Comfiguracion en grupo.
Teniendo en cuenta el estado de todas sus revisiones  y del equipo, se determina que esta en óptimo estado de operación y funcionamiento de acuerdo a comfiguracion inicial.

NOTA:
Equipo actualmente se encuentra sin filtros de retorno. Ala espera de su cambio de filtros.

Se entrega servicio tecnico a satisfacción del cliente, sin novedad..


",UNIVERSIDAD DEL CAUCA
eeefa748-2e33-b478-7df4-64595cee349e,AIRE ACONDICIONADO RD NUEVO,APC,JK2230004923,AA-18706,"2025-07-18 17:05:26","Se revisa log de eventos, se realiza apagado controlado del equipo, se des energiza.

Se retiran los 6 ventiladores y se limpian, interior y exterior de la unidad, serpentín y bandeja de condensado.

Se lavan filtros de aire y serpentín condensador, se limpia caja electrica y se registran valores de voltajes, consumo y presión de trabajo.

El equipo queda en operación y sin alarmas activas.",UNIVERSIDAD TECNOLOGICA DE PEREIRA
b12cb7d4-023c-f660-e4f9-6455392f6bca,AIRE ACONDICIONADO NUEVO  RD600P,APC,JK2147003130,AA-18704,"2025-07-18 17:05:01","Se revisa log de eventos,  se realiza apagado controlado del equipo.

Se des energiza y se procese a lavar serpentín de la condensadora y limpiar caja eléctrica.

Se retiran filtros y tapa lateral de la caja eléctrica,  se limpia interior y exterior de la unidad, se verifica el estado y funcionamiento de los componentes internos.

El equipo queda operando con normalidad sin alarmas activas.

Se cambia la configuración de trabajo en grupo y se deja un equipo en backup, para realizar una prueba y puede sostener la temperatura con el ACRD100 que hay en la sala.",UNIVERSIDAD TECNOLOGICA DE PEREIRA
df648494-4b04-ca82-08cb-6459061ab53b,AIRE ACONDICIONADO NUEVO2   RD600P,APC,JK2147003126,AA-18705,"2025-07-18 17:04:48","Se revisa log de eventos,  se realiza apagado controlado del equipo.

Se des energiza y se procese a lavar serpentín de la condensadora y limpiar caja eléctrica.

Se retiran filtros y tapa lateral de la caja eléctrica,  se limpia interior y exterior de la unidad, se verifica el estado y funcionamiento de los componentes internos.

El equipo queda operando con normalidad sin alarmas activas.

Se cambia la configuración de trabajo en grupo y se deja un equipo en backup, para realizar una prueba y puede sostener la temperatura con el ACRD100 que hay en la sala.
",UNIVERSIDAD TECNOLOGICA DE PEREIRA
"3228",AA ACRP100,APC,JK1213009088,AA-18713,"2025-07-17 20:39:25","Emergencia . 

Se identifica alarma por falla constante de humidificador. 

Se verifica las condiciones generales del equipo. 
Se restablece equipo y se modifica set points para hacer entrar en operacion el humidificador, durante mas de 30 minutos trabajó sin generar alarmas por mal funcionamiento, no hay fugas de agua y la corriente máxima de los electrodos fue de 1.7 amp. 

Luego de verificar correcto funcionamiento  se restablecen los set points a los valores normales de operacion . No quedan alarmas activas  y el equipo esta completamente operativa. 

Se verifica con el centro de monitoreo y se verifica ausencia de alarmas  activas. ",COOL AIR MULTIAIRES S.A.S.
"726f3d1a-6b79-11a7-0928-60501a216413",Aire Acondicionado de precisión ACRD600P,APC ,JK16400002252,AA-18714,"2025-07-17 20:34:02","Se atiende alarmas presentes en la unidad de aire acondicionado.

Se halla unidades de aire acondicionado # 2 y 3  con alarmas por falla de comunicación en grupo.  
Hace unos días se deshabilito la configuración en grupo para permitir que las unidades de aire acondicionado # 2 y 3 estén en operacion permanente ya que el equipo #1 salió de operacion por falla en la bomba de condensados. 
Cuando de habilito el funcionamiento de estos dos equipos, falto configurar las unidades en operacion individual  y eliminar la configuración en grupo. 

Finalmente se restablece alarmas presentes, se notifica y verifica estado normal en el centro de monitoreo de Tocancipá. ",COOL AIR MULTIAIRES S.A.S.
"3e7a7371-2fba-d403-fcf9-5ae32aab1084",AIRE AUNIFLAIR - EAFIT BL 18 UMA 1,UNIFLAIR,UCV101363,AA-18707,"2025-07-17 13:53:52","Se hizo atención de emergencia. 

El circuito #1 de refrigeración del equipo estaba alarmado por alta presión de refrigerante. 
Al momento de llegar el compresor no presentaba recalentamiento ni presencia de fugas de refrigerante. 
Se restableció el suich de alta presión del circuito, se borro alarma en el modulo de control y posteriormente el sistema reinicio el funcionamiento del compresor. 

Al momento de arrancar no se evidencia alta corriente en el compresor ni calentamiento excesivo en el cuerpo del mismo.  En la inspección hecha a la unidad condensadora, no se evidencia avería en ventiladores y las revoluciones a la que giran los motores garantiza una evacuación correcta del calor por efecto de la ventilación

La razón de la alta presión se pudo presentar en un momento de arranque del compresor, donde pudo haber retardo en la evacuación del calor en la unidad condensadora o  por algún evento eléctrico que haya podido parar/arrancar el compresor en cuestión de milisegundos y generar así la contra presión. Sin embargo, en la zona de las unidades condensadoras aún persiste la descarga de aire caliente proveniente del chiller Coolman 500 Trane, que cumple funciones de confort. El aire que llega a la unidad condensadora proveniente de este chiller está a 42°c, temperatura máxima para la operación de la unidad condensadora del equipo Uniflair. Ésta situación ya se había reportado años atrás y se había planteado la necesidad de desviar este flujo de aire para evitar el bloqueo del equipo por alta presión de refrigerante. 

En sitio se hizo seguimiento del funcionamiento y no se identifican componentes en mal estado y no se presentó mas la alarma. 
Se notifica al monitoreo para hacer seguimiento al comportamiento del equipo. 

La unidad queda operativa y sin alarmas activas. ",UNIVERSIDAD EAFIT COP
